quad,row,col,trap_energy,gmean_coeff,log_coeff_slope_per_K,n_points
0,187,690,0.25331302,0.61372508,0.027380986,5
0,188,2402,0.31731029,0.55684216,0.03318221,4
0,18,1546,0.48643589,0.99591255,0.0072766004,11
0,18,1677,0.078086224,0.5492539,-0.01080086,8
0,18,1826,0.30709173,0.90767881,-0.019581128,5
0,191,1678,0.25211825,0.87847033,-0.016134818,4
0,192,1245,0.20636947,0.60888667,0.01102029,7
0,192,2055,0.34255799,1.0327611,0.00038620137,7
0,193,2845,0.3376509,1.1919947,-0.0041509778,6
0,195,2542,0.28026547,0.53983177,0.029797798,4
0,196,2435,0.23473838,0.92116314,0.01015138,6
0,196,2710,0.2988548,1.0199245,0.00070980614,5
0,197,1445,0.29481653,1.1045418,0.0046966649,7
0,197,2710,0.22279085,0.61868842,0.032631282,5
0,198,1445,0.27837906,0.57333844,0.008874907,7
0,198,2259,0.30082012,0.91610985,0.0067253827,15
0,198,2791,0.29043776,0.59099628,-0.0082900329,20
0,19,1546,0.58012744,0.37570714,0.00034257302,6
0,1,756,0.1552988,0.71942663,0.046319025,5
0,200,2588,0.25013093,0.96515294,0.0071391852,4
0,201,953,0.38617842,0.90351573,0.017491947,11
0,203,2224,0.30302547,0.72919058,-0.014023909,19
0,206,2626,0.23554221,0.72622911,-0.00018414773,8
0,208,1622,0.52591595,0.9998193,-0.005602925,7
0,208,1746,0.34798657,0.56723887,-0.011169356,17
0,208,187,0.27153141,0.86656188,-0.0077188127,6
0,208,2106,0.27465581,0.84938965,0.021634519,7
0,209,1622,0.53476383,0.51173011,-0.00069692699,8
0,209,1841,0.23347141,0.78685803,0.049469022,4
0,209,187,0.19882689,0.50181802,0.034435147,5
0,209,2252,0.22197965,0.73297397,0.026006785,7
0,209,605,0.12392013,0.72490222,0.050205818,4
0,211,1268,0.30319463,0.98402397,-0.016400838,6
0,211,1508,0.29250665,0.60729654,0.0033322882,19
0,211,1956,4.216231e-20,0.47556238,-0.0024755924,12
0,212,2367,0.023292291,0.53257317,-0.024676632,4
0,212,262,0.01799172,0.46495896,-0.0051534078,4
0,213,456,0.1443523,0.76930606,0.023814296,5
0,214,1890,0.22203196,0.68721053,0.004514463,6
0,214,818,0.25587202,1.0272439,0.015443841,5
0,217,2936,0.15322376,0.58246294,0.024845125,5
0,218,1141,0.35352282,1.1188246,-0.021231156,4
0,219,3055,0.22454516,0.84243273,0.019008114,6
0,21,1667,0.11669627,0.72939542,0.015910102,4
0,220,2439,0.16039398,0.73237207,0.025267928,4
0,221,1337,0.2703005,0.99475976,0.0080835318,4
0,222,1863,0.31733856,1.0790001,-0.0013171864,5
0,222,2632,0.22373676,0.89038305,0.00062421153,5
0,222,445,0.28501533,0.85614436,-0.0090878972,15
0,223,1308,0.28669703,1.0403322,-0.0069483118,4
0,223,1863,0.32760885,0.51334164,0.033336402,4
0,223,2649,0.23462611,1.0548197,0.0042769516,7
0,224,1891,0.28995026,0.85288451,0.0037704575,4
0,224,944,0.28395142,0.92969075,-0.015611031,5
0,225,2141,0.19619052,0.76996506,0.039626595,5
0,226,1476,0.22060232,0.79625869,0.041288481,6
0,226,2713,0.24446907,0.63076697,0.008361037,10
0,227,1778,0.10436661,0.55317297,0.048689578,5
0,227,2401,0.24854922,0.44353624,0.010606663,5
0,227,2713,0.23428906,0.42174379,0.0052643854,6
0,22,1283,0.29616693,0.67370753,-0.013908584,14
0,22,1384,0.25491276,0.69301896,0.012040371,9
0,22,2058,0.24810777,0.84011044,0.031367423,5
0,231,1563,0.29712829,1.1068959,0.00042083911,4
0,231,2588,0.20319997,0.70597901,0.038979349,6
